title,genres,overview
The Hanoi Hilton,"War, Drama",Lionel Chetwynd's film documents the horrific struggles that faced American POWs held in the North Vietnamese prison Hoa Lo -- more infamously known as the Hanoi Hilton -- between 1964 and 1975. Williamson (Michael Moriarty) leads a group of American servicemen who are prisoners at the detention camp. He assumes command after Cathcart (Lawrence Pressman) is dragged off to be tortured.
Flight,Drama,"Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation."
Arachnia,"Horror, Science Fiction",Unknown
Crazy,"Music, Drama, Romance","Crazy is the story of a legendary guitar player who emerged from Nashville in the 1950s. Blessed with incomparable, natural talent, Hank Garland quickly established his reputation as the finest sessions player in Nashville."
I Was a Communist for the FBI,Crime,A fact-based story about a man who posed as an American Communist for years as part of a secret plan to infiltrate their organization.
10 Rillington Place,"Crime, Drama","The story of British serial killer John Christie, who committed most or all of his crimes in the titular terraced house, and the miscarriage of justice involving Timothy Evans."
"Yours, Mine and Ours","Comedy, Drama, Family","When a widower with 10 children marries a widow with 8, can the 20 of them ever come together as one big happy family?"
15: The Movie,"Comedy, Crime, Drama, Foreign","Fast, frenetic, and furious best describe the story of five teenage boys all but abandoned by the system, estranged from any parents, and discarded by life in general.  They build a world of there own in which gangs, drugs, fighting, body piercing, self-harm, and even suicide are considered commonplace.  The film highlights their harrowing place in time and this small world; where brotherhood is valued above all else.  Impressively acted by actual street kids, the movie highlights a gritty side of modern-day Singaporean life."
Finding Fela,Documentary,"Fela Anikulapo Kuti created the musical movement Afrobeat and used it as a political forum to oppose the Nigerian dictatorship and advocate for the rights of oppressed people. This is the story of his life, music, and political importance."
The Haunted Mansion,"Thriller, Fantasy, Comedy, Family, Mystery","Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover."
The Dark Knight,"Drama, Action, Crime, Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Really Rosie,"Animation, Family, Fantasy, Music","Really Rosie is a musical with a book and lyrics by Maurice Sendak and music by Carole King. The musical is based on Sendak's books ""Chicken Soup with Rice"", ""Pierre"", ""One was Johnny"", ""Aligators All Around"" (Which comprise the 1962 book ""The Nutshell Library""), and ""The Sign on Rosie's Door"". Sendak based the story on a demonstrative little girl who used to sing and dance on the stoop of her building, whom he observed while he was a little boy growing up in Brooklyn."
The 13th Letter,Unknown,The English-language remake of the French classic Le corbeau. Michael Rennie plays a doctor at a Canadian hospital who receives a series of poison pen letters. Soon these letters are sent to others which leads to tension amongst the inhabitants of the small Canadian town.
Bunker Palace Hotel,Science Fiction,"In an imaginary dictature of a futuristic world, rebellion has broken out. The men in power scramble to the Bunker Palace Hotel, a bunker built long ago for just this kind of contingency. But a rebel spy sneaks in, and although her nature is very quickly suspected, she is left to observe the raving of the decadent power class, who keeps wondering what happened to their leader, who has failed to show up. Plot written by Jay Han"
Cat's Play,"Drama, Romance","Karoly Makk's heartbreaking story of two unmarried sisters who cast wistful glances back at their lives, but still believe in hope and love, earned an Academy Award Nomination for Best Foreign Language Film in 1974. In this follow-up to the director's internationally acclaimed Love, Makk once again exhibits his extraordinary skills at drawing emotionally compelling performances from his talented female leads. Makk's film opposes the bleakness of the outside world with passion, love, and loyalty."
Hercules,"Animation, Family, Fantasy, Adventure, Comedy, Romance","Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!"
Sweet Nothing,Unknown,"Angel celebrates the birth of his daughter by taking his first hit of crack cocaine. With the hesitant support of his wife, Monika, he joins a friend of his to deal drugs for a short time--enough time to get out of debt and buy some nice things for the family. Three years later, Angel is still dealing, and has not saved any money, instead spending it on crack. His addiction grows, straining his friendship and his family life, and he gradually loses control."
Do You Remember Dolly Bell?,"Comedy, Drama, Romance","A young man grows up in Sarajevo in the 1960s, under the shadow of his good, but ailing father, and gets attracted by the world of small-time criminals."
Lost on Journey,Comedy,"A boss of a toy corporation, Chenggong Li, tries to head back to Chan Sar to celebrate the Chinese New Year with his family. However, plans don't go as smoothly after he crosses paths with a stranger, Geng Niu."
Flypaper,"Mystery, Comedy, Crime",A man caught in the middle of two simultaneous robberies at a bank desperately tries to protect the teller with whom he's secretly in love.
Brass Monkey,Crime,"Carroll Levis, a radio variety host, gets involved in murder and theft."
Love Streams,"Comedy, Drama","Two closely bound, emotionally wounded siblings reunite after years apart."
Pure Pwnage: Teh Movie,"Comedy, Documentary",Kyle wants to make a Pure Pwnage movie but he has to do some convincing because Jeremy is now living the suburban life and doesn't want to participate.
Peacock,"Mystery, Thriller","A man with a split personality fools his small town into believing his two alter egos are man and wife, although a struggling young mother holds the key to his past and sparks a battle between the personalities."
Morsian yllättää,"Romance, Comedy","Valentin Vaala's crazy, romantic comedy."
The Unsaid,Thriller,A doctor dealing with the aftermath of his son's death tries to help a troubled young man.
It Stains the Sands Red,"Comedy, Horror, Drama","In the throes of a zombie apocalypse, A troubled woman from Las Vegas with a dark past, finds herself stranded in the desert with a lone and ravenous zombie on her tail."
Ánima Buenos Aires,"Animation, Foreign","Portrait of the Argentinean capital of Buenos Aires by different filmmakers and cartoonists, in four chapters, displaying a rich combination of techniques. Each episode shows its own aspect of the soul of this magical metropolis, in this era of ruthless globalisation. With humour and emotion, and featuring the tango."
Shuffle,"Thriller, Mystery, Romance","Lovell Milo is a man who begins experiencing his life out of order; every day he wakes up at a different age, on a different day of his life, never knowing where or when he’s going to be once he falls asleep. He’s terrified and wants it to stop - until he notices a pattern in his experience, and works to uncover why this is happening to him - and what or who is behind it."
The 50 Year Argument,Documentary,"Directed by acclaimed filmmaker Martin Scorsese and his longtime documentary collaborator David Tedeschi, A 50 Year Argument rides the waves of literary, political, and cultural history as charted by the The New York Review of Books, America’s leading journal of ideas for over 50 years. Provocative, idiosyncratic and incendiary, the film weaves rarely seen archival material, contributor interviews, excerpts from writings by such icons as James Baldwin, Gore Vidal, and Joan Didion along with original verité footage filmed in the Review’s West Village offices. Confrontation and original argument are in the Review's DNA - the magazine seems as vital now as when it was run by its indefatigable founding editors, Robert Silvers and the late Barbara Epstein. Co-produced with the BBC's award-winning Arena and shaped by Scorcese's vivid filmmaking style, The Fifty Year Argument captures the power of ideas in influencing history."
God's Gift To Women,"Comedy, Romance","Frank Fay stars in this 1931 Warner Bros. farce as a notorious womanizer who sets his sights on pretty American tourist Laura La Plante, only to be told by his doctor that he must give up all romance for his health. Also with Joan Blondell, Louise Brooks, Charles Winninger and Alan Mowbray."
The Pursuit of Happyness,Drama,"The true story of Christopher Gardner, who invests heavily in a device known as a 'Bone Density Scanner', only to find himself struggle to sell the product as it's just marginally better than the current technology, and much more expensive. His wife leaves him,  he loses his house, bank account and credit cards and, now forced to live out in the streets with his young son,  he's desperate to find a steady job. He takes on a job as a stockbroker but, before he can receive pay, he needs to go through 6 months of training, and must sell his devices."
Garm Wars: The Last Druid,"Action, Science Fiction, Thriller","In a world where clone soldiers from three military tribes are locked in a perpetual battle of air, land and technology, one clone is separated from the battle and finds herself on the run with a group of unlikely companions."
Growth,"Horror, Science Fiction, Thriller","In 1989, a breakthrough in ""advanced parasitic research"" on Cuttyhunk Island gave scientists a jump in human evolution. Initial tests proved promising, as subjects experienced heightened physical and mental strength and awareness. But .. something in the experiment went horribly wrong, and the island mysteriously lost three quarters of its population. Jamie Akerman fled the outbreak -- which killed her mother -- twenty years ago. She now returns with her boyfriend and step-brother to sell the family property. There, they uncover the key to Jamie's disturbing past, and the horrifying secrets long suppressed by the town leader, Larkin. Now, a new strain of parasite has emerged, and threatens the island once again. Jamie struggles to survive and escape the obsessive pursuit of the local islanders who know that she has inherited more than she could ever have imagined ..."
Barefoot in the Park,"Comedy, Romance","In this film based on a Neil Simon play, newlyweds Corie, a free spirit, and Paul Bratter, an uptight lawyer, share a sixth-floor apartment in Greenwich Village. Soon after their marriage, Corie tries to find a companion for mother, Ethel, who is now alone, and sets up Ethel with neighbor Victor. Inappropriate behavior on a double date causes conflict, and the young couple considers divorce."
Superfantozzi,Comedy,"Superfantozzi (1986) is an Italian film from 1986. It is the fifth film in the saga of the unlucky clerk Ugo Fantozzi, played by its creator, Paolo Villaggio. In this film, Fantozzi is portrayed in a surreal historical journey, from Genesis to 1980s."
When Ladies Meet,"Comedy, Drama, Romance","Mary, a writer working on a novel about a love triangle, is attracted to her publisher. Her suitor Jimmy is determined to break them up; he introduces Mary to the publisher's wife without telling Mary who she is."
Temptation,Drama,A Victorian-era drama about a beautiful young woman with a shady past.
The Circle,"Drama, Thriller, Science Fiction","A young tech worker takes a job at a greedy Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will have no effect whatsoever."
The Legend of Hell's Gate: An American Conspiracy,"Action, Adventure, History, Western","In 1870s Texas, a ruthless bounty hunter and an Irish desperado flee the law with a young criminal claiming to possess a treasure more valuable than gold. Crossing paths with some of the West’s most notorious figures, the three outlaws fight for their lives in the pursuit of fame and fortune. Fueled by an ensemble cast and inspired by actual events, THE LEGEND OF HELL’S GATE blends legend and history into a Western spectacle that recounts a treacherous existence in post Civil War Texas."
Twist,Drama,"In a gritty retelling of the Dickens's classic, Twist takes Oliver and the Artful Dodger out of the poorhouse and onto the streets, where junk is the currency and hustling is the game."
Two Girls and a Guy,"Drama, Romance","Two women confront their boyfriend, a two-timing actor who professed eternal love to each."
Angels Don't Sleep Here,Thriller,A man is accused of murder and manipulated into a web of deceit as his thought-to-be dead twin brother plots revenge on those who tried to kill him.
Lisa Lampanelli: Back to the Drawing Board,Comedy,"Brash, bold and never afraid to go blue, comedian Lisa Lampanelli offers a raucous and raunchy performance in her first stand-up special for EPIX. Taped at the Music Hall in Tarrytown, New York, the set includes Lampanelli’s signature brand of insult comedy as well as her personal experiences with weight loss and divorce."
Somnambulance,Drama,"Autumn 1944, Estonia. Tens of thousands of people leave their homeland in fear of approaching frontline. Some seashore villages remain completely empty. A young woman with huge grey eyes gets off the boat. Eetla leaves the last boat, thus giving up her last chance to escape. Defying the cold wind and rain of September, she returns to the lighthouse which is unexpected to her father Gottfrid, the lighthouse keeper, and herself. Eetla's return becomes her self-encounter and self-recognition."
Killjoy's Psycho Circus,Horror,"Killjoy, the demon of vengeance, trickster god and killer clown has finally made it to Earth! Along with his gruesome crew Freakshow, Punchy and the sexy/psychotic Batty Boop, Killjoy is free to terrorize mortals in new and excruciating ways."
Looking For Lola,"Comedy, Romance","Looking for Lola is a comical look at the world of relationships and highlights just how far we will go to impress that special someone... Mike (Mark Kassen) has moved to L.A. with dreams of being a writer. In order to keep his parents satisfied, he lies to them, telling of his instant success and wealth as an author. Lola (Ara Celi) has dreams of being a dancer; however her illegal status in the country has left her looking after her sleazy boss' mansion. the hilarity begins after the two meet. Both weave an intricate set of lies, painting a picture of success and wealth, in an attempt to woo the other. However, when their parents decide to visit them in California, it becomes extremely challenging to keep the comical facade alive!"
Vamp U,"Action, Comedy, Horror","Wayne Gretzky (no relation) is a vampire who can't grow his teeth. His impotence began when he inadvertently killed Mary Lipinsky, the love of his life, 300 years ago. To take his mind off the pain, he teaches college history - who better? Attempting to regain his full power, he enlists help from his friend and colleague, Dr. Levine (Gary Cole). Nothing works until a new semester brings freshman Chris Keller. She's a dead ringer for Mary and they have a lurid affair, while rumors fly around the campus. But it all sours when he turns Chris into a vampire and her newfound bloodlust spins out of control in a bloody rampage, making the rumors a little too real. Written by Anonymous"
Strange Wilderness,Comedy,"With the ratings dropping for a wilderness-themed TV show, two animal fans go to the Andes in search of Bigfoot."
Castle Freak,"Thriller, Drama, Horror, Mystery",John has inherited a castle and Italy and he moves there with his wife Susan and their blind daughter Rebecca. What they don't realize is that there is somebody else in the castle. An abused child left to die in the basement who has now become the castle freak and is out to wreak havoc.
The Smallest Show on Earth,Comedy,Jean and Bill are a married couple trying to scrape a living. Out of the blue they receive a telegram informing them Bill's long-lost uncle has died and left them his business - a cinema in the town of Sloughborough. Unfortunately they can't sell it for the fortune they hoped as they discover it is falling down and almost worthless.
The China Lake Murders,Unknown,A small town sheriff (Tom Skerritt) has his suspicions in a murder case which involves a rogue cop who goes on a murder spree. Contains mild sexual situations and violence.
The Lion in Winter,"Drama, History","1183 AD: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
Barry Crimmins: Whatever Threatens You,Comedy,"Following from Bobcat Goldthwait's revelatory documentary, Call Me Lucky, Barry Crimmins' friend Louis CK produced and directed Whatever Threatens You, his first comedy special, at the Lawrence Arts Center in Lawrence, Kansas in June 4th, 2016. It was then subsequently made available for download on Louis CK's website on October 23rd, 2016.  The hour-long special is a sharp set of the biting social and political commentary that has defined Crimmins' career, touching upon his beginnings in helping to found the Boston comedy scene, right up to his thoughts on the upcoming 2016 US election."
Eadweard,Drama,"In the second half of the 19th century, Eadweard Muybridge, the father of motion pictures, embarks on an obsessive project to record on film ""the motion of life"" in all of its abundance. His epic quest is eclipsed only by the depth of his jealousy over his beautiful, young wife Flora. As the project progresses, his paranoia over her fidelity consumes him, until questions arise about his son’s paternity, causing him to erupt."
Clean and Sober,Drama,"Hotshot real estate salesman Daryl has a bad cocaine habit. After embezzling his company's money, he wakes up next to a girl who overdosed. To hide from the police, he checks into a rehabilitation program guaranteeing anonymity. Under the mentorship of counselor Craig, Daryl accepts that he has a substance abuse problem. As he falls in love with fellow patient Charlie, Daryl begins committing to a newly sober life."
Gummo,Drama,"Solomon and Tummler are two teenagers killing time in Xenia, Ohio, a small town that has never recovered from the tornado that ravaged the community in the 1970s."
Blonde Crazy,"Comedy, Crime, Drama",Adventures of a cocky con man and his glamorous accomplice.
Athadu,"Action, Foreign, Thriller","Athadu is a Action Movie Directed by Trivikram Srinivas Rao.Nandu (Mahesh Babu), an orphan, is a top-notch professional killer in town. He maneuvers his operations with the help of his buddy (Sonu Sood). In one such operation, he falls into the eyes of the cops. While fleeing from the crime scene, he unintentionally becomes the cause for the death of a stranger called Pardhoo (Rajiv Kanakala), a run-away youngster who wants to return home after 12 years. Nandu assumes the identity of Pardhoo and enters his household in a remote village to escape from the cops. The rest of the story is all about how Nandu solves all the problems."
Thieves by Law,Foreign,Documentary about Russian Mafia.
The Interior,Thriller,"After receiving a distressing medical diagnosis, a listless young man flees the crushing tedium of Toronto city life, trading it all for the wilderness of the British Columbian Interior. When his whims go awry, he is reduced to petty thievery just to survive. Fearing his misdeeds will catch up with him, he retreats further and further into the woods only to gradually find himself the target of increasingly inexplicable and disturbing manifestations, which point to a frightening truth: he is not alone. Some one or some thing is pursuing him into THE INTERIOR."
RR,Documentary,"Looping, chugging and barreling by, the trains in Benning's latest monumental film map a stunning topography and a history of American development. RR comes three decades after Benning and Bette Gordon made The United States of America (1975), a cinematic journey along the country’s interstates that is keenly aware “of superhighways and railroad tracks as American public symbols.” A political essay responding to the economic histories of trains as instruments in a culture of hyper-consumption, RR articulates its concern most explicitly when Eisenhower's military-industrial complex speech is heard as a mile long coal train passes through eastern Wyoming. Benning spent two and a half years collecting two hundred and sixteen shots of trains, forty-three of which appear in RR. The locomotives' varying colors, speeds, vectors, and reverberations are charged with visual thrills, romance and a nostalgia heightened by Benning's declaration that this will be his last work in 16mm film."
Snowden,"Drama, Thriller",CIA employee Edward Snowden leaks thousands of classified documents to the press.
I Want to Live!,"Crime, Drama","Barbara Graham is a woman with dubious moral standards, often a guest in seedy bars. She has been sentenced for some petty crimes. Two men she knows murder an older woman. When they get caught they start to think that Barbara has helped the police arresting them. As a revenge they tell the police that Barbara is the murderer."
A Matter of Life and Death,"Fantasy, Drama, Romance","When a young airman miraculously survives bailing out of his aeroplane without a parachute, he falls in love with an American radio operator. But the officials in the other world realise their mistake, and despatch an angel to collect him."
The Thirteenth Year,"TV Movie, Adventure, Comedy, Family",A teen learns that his birth mother is a mermaid after he begins to grow fins and slimy scales on his thirteenth birthday.
Der letzte schöne Herbsttag,Unknown,Unknown
The Deadly Affair,"Romance, Drama, Thriller, Crime, Mystery","Charles Dobbs is a British secret agent investigating the apparent suicide of Foreign Office official Samuel Fennan. Dobbs suspects that Fennan's wife, Elsa, a survivor of a Nazi Germany extermination camp, might have some clues, but other officials want Dobbs to drop the case. So Dobbs hires a retiring inspector, Mendel, to quietly make inquiries. Dobbs isn't at all sure as there are a number of anomalies that simply can't be explained away. Dobbs is also having trouble at home with his errant wife, whom he very much loves, having frequent affairs. He's also pleased to see an old friend, Dieter Frey, who he recruited after the war. With the assistance of a colleague and a retired policeman, Dobbs tries to piece together just who is the spy and who in fact assassinated Fennan."
The Human Stain,"Drama, Thriller, Romance","Coleman Silk is a worldly and admired professor who loses his job after unwittingly making a racial slur. To clear his name, Silk writes a book about the events with his friend and colleague Nathan Zuckerman, who in the process discovers a dark secret Silk has hidden his whole life. All the while, Silk engages in an affair with Faunia Farley, a younger woman whose tormented past threatens to unravel the layers of deception Silk has constructed."
Trading Places,Comedy,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.
Murk,"Thriller, Drama","The psychological thriller ""Murk"" tells the story of Jacob, who is investigating into the circumstances surrounding his sister's death on her wedding night."
Eight Diagram Pole Fighter,"Action, Drama, Foreign","The Yangs are betrayed by a government official conspiring with the Mongols. All of the Yang family males except the 4th, 5th, and 6th brothers are killed. Fu Sheng loses his mind after the death of his family, while the other brother, takes refuge in a temple. Liu's superb martial arts skill, impress the temple's senior monks. He learns that his sister has been captured by the conspirators."
Model Behavior,"Comedy, Family, Drama","This is a Disney Channel movie about two teenage girls, one an ordinary high school girl and the other a top teen model, who meet and switch places."
Class of 1999 II - The Substitute,"Action, Science Fiction","In the original movie, the cyborg-teachers were all destroyed. Well that's what we thought, but there's one more rogue military robot out there determined to clean up the education system."
"Quo vadis, baby?",Unknown,A private detective investigates her sister's suicide 16 years earlier.
10 Cent Pistol,"Action, Crime, Thriller","A story about two lifelong criminals who maneuver through the shady underbelly of Los Angeles in search of wealth, love and redemption."
Hadj Cheriff,Unknown,"Hadji Cheriff, a performer known for a variety of unusual abilities, demonstrates part of his act in the Thomas Edison studio. He has a large knife in his hand at the opening of the act. He then hurls the knife away and begins a rapid series of dance-like motions, executing numerous cartwheels and whirling movements."
Essential Killing,"Thriller, War",A Taliban soldier struggles to survive after he escapes his captors and flees into the Polish countryside.
Pecos River,Western,Steve is a Government Agent looking for the gang that stole the U.S. Mail. He goes undercover...
Take the High Ground!,"Comedy, Drama, War","Sgt. Thorne Ryan, who once fought bravely in Korea, now serves as a hard-nosed drill instructor to new Army recruits at Fort Bliss, Texas. But is he really the man he is often described as? His fellow instructor, and friend helps him to face the ghosts of his past experiences in Korea. One night in a bar across the border in Juarez, Mexico, Sgt. Ryan meets a lady who begins to turn his life around. Will this be enough to help him deal with the past? Or will he continue to be so hard on his troops?"
Wizards,"Animation, Fantasy, Science Fiction",An ambiguous battle between good and evil wages in a post-apocalyptic earth populated by netherworld creatures who have re-emerged after the nuclear winter. Two wizard twin brothers - the evil Blackwolf and the good Avatar - battle for supremacy. The war turns in Blackwolf's favor when he discovers the methods of warfare used by the ill-fated humans of the past.
Viy,"Drama, Fantasy, Horror",A young priest is ordered to preside over the wake of a witch in the church of a remote village. This means spending three nights alone with the corpse with only his faith to protect him.
The Golden Bowl,"Romance, Drama","An intricately plotted tale of thwarted love and betrayal, ""The Golden Bowl"" tells the story of an extravagantly rich American widower and his sheltered daughter, both of whom marry only to discover that their respective mates, a beautiful American expatriate and an impoverished Italian aristocrat, are entangled with one another in a romantic intrigue of seduction and deceit."
3 Ninjas: High Noon at Mega Mountain,"Action, Comedy, Family","Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by evil Medusa, who wants to take over the park and hold the owners for ransom. Kids and retired TV star Dave Dragon, who made his farewell appearance at the park at the time the ninjas appeared, have to break Medusa's vicious plans."
Doug Stanhope: Beer Hall Putsch,Comedy,"Named after Hitler's failed coup attempt, Beer Hall Putsch brings you deeper into acerbic comic Doug Stanhope's twisted world with his newest one hour stand-up special filmed live at Dante's in Portland."
Anna Christie,"Drama, Romance","Old sailor Chris Christofferson eagerly awaits the arrival of his grown daughter Anna, whom he sent at five years old to live with relatives in Minnesota. He has not seen her since, but believes her to be a decent and respectably employed young woman. When Anna arrives, however, it is clear that she has lived a hard life in the dregs of society, and that much of spirit has been extinguished. She falls in love with a young sailor rescued at sea by her father, but dreads to reveal to him the truth of her past. Both father and young man are deluded about her background, yet Anna cannot quite bring herself to allow them to remain deluded."
Taarzan: The Wonder Car,"Drama, Action","Taarzan: The Wonder Car is a 2004 romantic thriller film directed by Abbas Burmawalla and Mustan Burmawalla. The film stars Vatsal Seth, Ajay Devgn and Ayesha Takia in the lead roles, while Farida Jalal, Shakti Kapoor, Amrish Puri, Pankaj Dheer, Sadashiv Amrapurkar, Gulshan Grover and Mukesh Tiwari play supporting roles. The film is inspired by the 1983 horror, Christine."
"Coluche, l'histoire d'un mec","Comedy, Drama",No overview found.
Soultaker,"Fantasy, Horror, Science Fiction","Four teenagers are killed in a car accident. Two of the teenagers refuse to go with ""The Grim Reaper"" and a race between life and death ensues!"
Midnight Lace,Thriller,"This 1960 thriller, set in London, stars Doris Day as a wife who begins to unravel when she receives threatening telephone calls informing her she's soon to be murdered."
Bad Boys II,"Adventure, Action, Comedy, Thriller, Crime","Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister."
3 Simoa,Comedy,"A caper comedy about two friends, Simo and Lasse, who try to earn their living as burglars. But now there's also Baby Simo."
"The Foreign Duck, the Native Duck and God in a Coin Locker",Drama,"A university student finds himself wrapped up in the bizarre world of his next door neighbor, learning about his history and relationship with a girl who changed his life."
If These Knishes Could Talk: The Story of the NY Accent,Unknown,"The story of the New York accent, as told by New Yorkers."
The 2000 Year Old Man,Unknown,"When Carl Reiner and Mel Brooks stepped onstage for the first time to perform their now-legendary skit ""The 2000 Year Old Man,"" they turned live comedy on its head with their irreverent, cutting-edge humor. Done in animated style, catch the dynamic duo riffing on everything from Robin Hood to Saran Wrap in this crowd-pleasing performance as straight-man Reiner interviews a centuries-old Brooks, who shares his wickedly funny musings and opinions with the usual aplomb."
The Loving Story,"Documentary, Drama, History","This documentary film tells the dramatic story of Richard and Mildred Loving, an interracial couple living in Virginia in the 1950s, and their landmark Supreme Court Case, Loving v. Virginia, that changed history."
Cattle Queen of Montana,Western,Sierra Nevada Jones must fight a villainous rancher to regain the land that is rightfully hers.
The World According to Dick Cheney,Unknown,How did a college dropout who was arrested for a DUI twice in the same year become the single-most-powerful nonpresidential political figure in American history? Filmmakers R. J. Cutler and Greg Finton answer that question and others in what is sure to be the definitive film about the fascinating life and legacy of Dick Cheney.
The Black Windmill,"Thriller, Action, Crime","A British agent's son is kidnapped and held for a ransom of diamonds. The agent finds out that he can't even count on the people he thought were on his side to help him, so he decides to track down the kidnappers himself."
Henry Fool,"Comedy, Drama",An egocentric bum transforms the lives of a shy New Jersey garbageman and his sister.
Fall of the Republic: The Presidency of Barack H. Obama,Documentary,Fall Of The Republic documents how an offshore corporate cartel is bankrupting the US economy by design. Leaders are now declaring that world government has arrived and that the dollar will be replaced by a new global currency.
The End of Evangelion,"Animation, Drama, Science Fiction","NERV faces a brutal attack from SEELE, but with Asuka in a coma, and Shinji in a nervous breakdown, things soon turn into the surreal. This movie provides a concurrent ending to the final two episodes of the show ""Neon Genesis Evangelion""."
You Don't Know Jack,Drama,"Angel of mercy… or murderous “Doctor Death”? Jack Kervorkian is one of the most polarizing figures in modern American history, a man whose passionate belief that people have the right to die has brought him both praise and vilification. Oscar®- and Emmy®-winning actor Al Pacino brings “Dr. Death” to life in an all-new HBO Films presentation: You Don’t Know Jack, directed by Oscar®-winner Barry Levinson."
"Dr. Black, Mr. Hyde",Horror,A doctor (Bernie Casey) in a Watts clinic takes his own medicine and becomes a monstrous white killer of hookers.
Albuquerque,"Action, Romance, Western","Cole Armin comes to Albuquerque to work for his uncle, John Armin, a despotic and hard-hearted czar who operates an ore-hauling freight line, and whose goal is to eliminate a competing line run by Ted Wallace and his sister Celia. Cole tires of his uncle's heavy-handed tactics and switches over to the Wallace side. Lety Tyler, an agent hired by the uncle, also switches over by warning Cole and Ted of a trap set for them by the uncle and his henchman."
Tormented,Horror,A jazz pianist (Richard Carlson) is haunted by his dead ex-lover's (Juli Reding) crawling hand and floating head.
Goodbye Charlie,"Comedy, Science Fiction, Romance","Shot by a jealous husband, Charley falls out a porthole and is lost at sea only to find himself returned as an attractive blond woman. His best friend is staying at his house as he puts Charlie's affairs in order and after being convinced, finds himself an unwilling helper in Charlie's new plan to marry into money"
French Kiss,"Comedy, Romance",French Kiss is director Kasdan’s best film since the Bodyguard. The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.
"Go, Johnny, Go!",Music,"Rock-n-roll promoter Alan Freed holds a talent search to develop a new rock star, then must find the elusive, mystery contestant (Jimmy Clanton) who doesn't know he has won."
The Man with the Iron Fists,Action,"In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers."
Hostel,Horror,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
Day of Wrath,"Crime, Adventure, Drama, Action, Thriller, Mystery","At the height of the Spanish Inquisition, high-ranking noblemen begin dropping like flies, with alarming frequency and unexplained violence. But can local 16th-century sheriff Ruy de Mendoza (Christopher Lambert) discern who's responsible when no one wants to cooperate? After all, before Mendoza can even identify the bodies, the crime scenes are mysteriously cleared -- and the villagers pretend the murders never happened."
Snow Flower and the Secret Fan,"Drama, History",A story set in 19th century China and centered on the lifelong friendship between two girls who develop their own secret code as a way to contend with the rigid cultural norms imposed on women.
The Leech Woman,"Horror, Science Fiction","An endocrinologist in a dysfunctional marriage with an aging, alcoholic wife journeys to Africa seeking a drug that will restore youth."
The Parking Lot Movie,Documentary,"The Parking Lot Movie is a documentary about a singular parking lot in Charlottesville, Virginia. The film follows a select group of parking lot attendants and their strange rite of passage."
Il Grido,Drama,A sugar-refinery worker (Steve Cochran) flees his Northern Italy town after a woman (Alida Valli) refuses his marriage proposal.
Transmorphers Fall of Man,"Action, Adventure, Science Fiction","In this prequel to Transmorphers -- a sci-fi thriller that borrows heavily from the plot of Transformers -- planet Earth is in peril thanks to a rogue army of alien robots, and it's up to a small group of humans to mount a crippling counterattack. Can Sheriff Hadley Ryan (Bruce Boxleitner), a doctor (Jennifer Rubin) and an ex-Marine (Shane Van Dyke) find the automatons' Achilles' heel before they"
The Dead and the Damned,"Horror, Western",A meteor lands in Jamestown California in 1849 during the gold rush. It is found by miners who release it's spoors which turn the population into blood thirsty mutants.
